[2025-10-12 13:42:34.413] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:42:38.664] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.22s 
[2025-10-12 13:44:44.264] [COMPLETE] ● https://ai.pydantic.dev/api/format_prompt/                                                           | ✓ | ⏱: 2.19s 
[2025-10-12 13:44:44.281] [FETCH]... ↓ https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 2.21s 
[2025-10-12 13:44:44.415] [SCRAPE].. ◆ https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:44.423] [COMPLETE] ● https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 2.35s 
[2025-10-12 13:44:44.570] [FETCH]... ↓ https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 2.50s 
[2025-10-12 13:44:44.634] [SCRAPE].. ◆ https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 0.05s 
[2025-10-12 13:44:44.634] [COMPLETE] ● https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 2.57s 
[2025-10-12 13:44:44.879] [FETCH]... ↓ https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 2.81s 
[2025-10-12 13:44:45.115] [SCRAPE].. ◆ https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 0.22s 
[2025-10-12 13:44:45.124] [COMPLETE] ● https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 3.05s 
[2025-10-12 13:44:45.141] [FETCH]... ↓ https://ai.pydantic.dev/api/ext/                                                                     | ✓ | ⏱: 3.05s 
[2025-10-12 13:44:45.424] [SCRAPE].. ◆ https://ai.pydantic.dev/api/ext/                                                                     | ✓ | ⏱: 0.27s 
[2025-10-12 13:44:45.435] [COMPLETE] ● https://ai.pydantic.dev/api/ext/                                                                     | ✓ | ⏱: 3.35s 
[2025-10-12 13:44:45.732] [FETCH]... ↓ https://ai.pydantic.dev/api/exceptions/                                                              | ✓ | ⏱: 3.65s 
[2025-10-12 13:44:45.917] [SCRAPE].. ◆ https://ai.pydantic.dev/api/exceptions/                                                              | ✓ | ⏱: 0.18s 
[2025-10-12 13:44:45.917] [COMPLETE] ● https://ai.pydantic.dev/api/exceptions/                                                              | ✓ | ⏱: 3.85s 
[2025-10-12 13:44:45.949] [FETCH]... ↓ https://ai.pydantic.dev/api/fasta2a/                                                                 | ✓ | ⏱: 3.86s 
[2025-10-12 13:44:46.730] [SCRAPE].. ◆ https://ai.pydantic.dev/api/fasta2a/                                                                 | ✓ | ⏱: 0.77s 
[2025-10-12 13:44:46.740] [COMPLETE] ● https://ai.pydantic.dev/api/fasta2a/                                                                 | ✓ | ⏱: 4.66s 
[2025-10-12 13:44:47.063] [FETCH]... ↓ https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 4.98s 
[2025-10-12 13:44:48.188] [SCRAPE].. ◆ https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 1.12s 
[2025-10-12 13:44:48.188] [COMPLETE] ● https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 6.12s 
[2025-10-12 13:44:48.220] [FETCH]... ↓ https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 6.15s 
[2025-10-12 13:44:49.871] [SCRAPE].. ◆ https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 1.65s 
[2025-10-12 13:44:49.881] [COMPLETE] ● https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 7.81s 
[2025-10-12 13:44:51.789] [FETCH]... ↓ https://ai.pydantic.dev/api/toolsets/                                                                | ✓ | ⏱: 1.87s 
[2025-10-12 13:44:52.267] [SCRAPE].. ◆ https://ai.pydantic.dev/api/toolsets/                                                                | ✓ | ⏱: 0.48s 
[2025-10-12 13:44:52.275] [COMPLETE] ● https://ai.pydantic.dev/api/toolsets/                                                                | ✓ | ⏱: 2.36s 
[2025-10-12 13:44:52.571] [FETCH]... ↓ https://ai.pydantic.dev/api/tools/                                                                   | ✓ | ⏱: 2.65s 
[2025-10-12 13:44:53.083] [SCRAPE].. ◆ https://ai.pydantic.dev/api/tools/                                                                   | ✓ | ⏱: 0.51s 
[2025-10-12 13:44:53.091] [COMPLETE] ● https://ai.pydantic.dev/api/tools/                                                                   | ✓ | ⏱: 3.18s 
[2025-10-12 13:44:53.256] [FETCH]... ↓ https://ai.pydantic.dev/api/retries/                                                                 | ✓ | ⏱: 3.34s 
[2025-10-12 13:44:53.641] [SCRAPE].. ◆ https://ai.pydantic.dev/api/retries/                                                                 | ✓ | ⏱: 0.37s 
[2025-10-12 13:44:53.653] [COMPLETE] ● https://ai.pydantic.dev/api/retries/                                                                 | ✓ | ⏱: 3.74s 
[2025-10-12 13:44:53.737] [FETCH]... ↓ https://ai.pydantic.dev/api/settings/                                                                | ✓ | ⏱: 3.83s 
[2025-10-12 13:44:53.846] [SCRAPE].. ◆ https://ai.pydantic.dev/api/settings/                                                                | ✓ | ⏱: 0.10s 
[2025-10-12 13:44:53.854] [COMPLETE] ● https://ai.pydantic.dev/api/settings/                                                                | ✓ | ⏱: 3.95s 
[2025-10-12 13:44:53.855] [FETCH]... ↓ https://ai.pydantic.dev/api/run/                                                                     | ✓ | ⏱: 3.96s 
[2025-10-12 13:44:54.081] [SCRAPE].. ◆ https://ai.pydantic.dev/api/run/                                                                     | ✓ | ⏱: 0.21s 
[2025-10-12 13:44:54.081] [COMPLETE] ● https://ai.pydantic.dev/api/run/                                                                     | ✓ | ⏱: 4.18s 
[2025-10-12 13:44:54.097] [FETCH]... ↓ https://ai.pydantic.dev/api/profiles/                                                                | ✓ | ⏱: 4.21s 
[2025-10-12 13:44:54.269] [SCRAPE].. ◆ https://ai.pydantic.dev/api/profiles/                                                                | ✓ | ⏱: 0.16s 
[2025-10-12 13:44:54.269] [COMPLETE] ● https://ai.pydantic.dev/api/profiles/                                                                | ✓ | ⏱: 4.38s 
[2025-10-12 13:44:54.533] [FETCH]... ↓ https://ai.pydantic.dev/api/result/                                                                  | ✓ | ⏱: 4.63s 
[2025-10-12 13:44:54.741] [SCRAPE].. ◆ https://ai.pydantic.dev/api/result/                                                                  | ✓ | ⏱: 0.21s 
[2025-10-12 13:44:54.749] [COMPLETE] ● https://ai.pydantic.dev/api/result/                                                                  | ✓ | ⏱: 4.85s 
[2025-10-12 13:44:54.761] [FETCH]... ↓ https://ai.pydantic.dev/api/output/                                                                  | ✓ | ⏱: 4.87s 
[2025-10-12 13:44:54.898] [SCRAPE].. ◆ https://ai.pydantic.dev/api/output/                                                                  | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:54.906] [COMPLETE] ● https://ai.pydantic.dev/api/output/                                                                  | ✓ | ⏱: 5.02s 
[2025-10-12 13:44:54.916] [FETCH]... ↓ https://ai.pydantic.dev/api/providers/                                                               | ✓ | ⏱: 5.02s 
[2025-10-12 13:44:55.484] [SCRAPE].. ◆ https://ai.pydantic.dev/api/providers/                                                               | ✓ | ⏱: 0.56s 
[2025-10-12 13:44:55.484] [COMPLETE] ● https://ai.pydantic.dev/api/providers/                                                               | ✓ | ⏱: 5.60s 
[2025-10-12 13:44:55.484] [FETCH]... ↓ https://ai.pydantic.dev/api/messages/                                                                | ✓ | ⏱: 5.61s 
[2025-10-12 13:44:56.062] [SCRAPE].. ◆ https://ai.pydantic.dev/api/messages/                                                                | ✓ | ⏱: 0.57s 
[2025-10-12 13:44:56.062] [COMPLETE] ● https://ai.pydantic.dev/api/messages/                                                                | ✓ | ⏱: 6.19s 
[2025-10-12 13:44:57.495] [FETCH]... ↓ https://ai.pydantic.dev/api/models/huggingface/                                                      | ✓ | ⏱: 1.38s 
[2025-10-12 13:44:57.704] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/huggingface/                                                      | ✓ | ⏱: 0.20s 
[2025-10-12 13:44:57.704] [COMPLETE] ● https://ai.pydantic.dev/api/models/huggingface/                                                      | ✓ | ⏱: 1.60s 
[2025-10-12 13:44:58.087] [FETCH]... ↓ https://ai.pydantic.dev/api/usage/                                                                   | ✓ | ⏱: 2.00s 
[2025-10-12 13:44:58.486] [SCRAPE].. ◆ https://ai.pydantic.dev/api/usage/                                                                   | ✓ | ⏱: 0.40s 
[2025-10-12 13:44:58.486] [COMPLETE] ● https://ai.pydantic.dev/api/usage/                                                                   | ✓ | ⏱: 2.41s 
[2025-10-12 13:44:58.528] [FETCH]... ↓ https://ai.pydantic.dev/api/models/anthropic/                                                        | ✓ | ⏱: 2.44s 
[2025-10-12 13:44:58.964] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/anthropic/                                                        | ✓ | ⏱: 0.43s 
[2025-10-12 13:44:58.972] [COMPLETE] ● https://ai.pydantic.dev/api/models/anthropic/                                                        | ✓ | ⏱: 2.89s 
[2025-10-12 13:44:59.108] [FETCH]... ↓ https://ai.pydantic.dev/api/models/groq/                                                             | ✓ | ⏱: 2.99s 
[2025-10-12 13:44:59.462] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/groq/                                                             | ✓ | ⏱: 0.35s 
[2025-10-12 13:44:59.462] [COMPLETE] ● https://ai.pydantic.dev/api/models/groq/                                                             | ✓ | ⏱: 3.35s 
[2025-10-12 13:44:59.619] [FETCH]... ↓ https://ai.pydantic.dev/api/models/fallback/                                                         | ✓ | ⏱: 3.50s 
[2025-10-12 13:44:59.709] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/fallback/                                                         | ✓ | ⏱: 0.09s 
[2025-10-12 13:44:59.709] [COMPLETE] ● https://ai.pydantic.dev/api/models/fallback/                                                         | ✓ | ⏱: 3.61s 
[2025-10-12 13:44:59.723] [FETCH]... ↓ https://ai.pydantic.dev/api/models/function/                                                         | ✓ | ⏱: 3.61s 
[2025-10-12 13:44:59.955] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/function/                                                         | ✓ | ⏱: 0.23s 
[2025-10-12 13:44:59.963] [COMPLETE] ● https://ai.pydantic.dev/api/models/function/                                                         | ✓ | ⏱: 3.86s 
[2025-10-12 13:44:59.981] [FETCH]... ↓ https://ai.pydantic.dev/api/models/bedrock/                                                          | ✓ | ⏱: 3.89s 
[2025-10-12 13:45:00.227] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/bedrock/                                                          | ✓ | ⏱: 0.24s 
[2025-10-12 13:45:00.227] [COMPLETE] ● https://ai.pydantic.dev/api/models/bedrock/                                                          | ✓ | ⏱: 4.14s 
[2025-10-12 13:45:00.227] [FETCH]... ↓ https://ai.pydantic.dev/api/models/cohere/                                                           | ✓ | ⏱: 4.13s 
[2025-10-12 13:45:00.325] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/cohere/                                                           | ✓ | ⏱: 0.09s 
[2025-10-12 13:45:00.333] [COMPLETE] ● https://ai.pydantic.dev/api/models/cohere/                                                           | ✓ | ⏱: 4.24s 
[2025-10-12 13:45:00.333] [FETCH]... ↓ https://ai.pydantic.dev/api/models/google/                                                           | ✓ | ⏱: 4.23s 
[2025-10-12 13:45:00.492] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/google/                                                           | ✓ | ⏱: 0.16s 
[2025-10-12 13:45:00.492] [COMPLETE] ● https://ai.pydantic.dev/api/models/google/                                                           | ✓ | ⏱: 4.39s 
[2025-10-12 13:45:00.519] [FETCH]... ↓ https://ai.pydantic.dev/api/models/base/                                                             | ✓ | ⏱: 4.43s 
[2025-10-12 13:45:00.668] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/base/                                                             | ✓ | ⏱: 0.15s 
[2025-10-12 13:45:00.676] [COMPLETE] ● https://ai.pydantic.dev/api/models/base/                                                             | ✓ | ⏱: 4.59s 
[2025-10-12 13:45:02.193] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_evals/otel/                                                     | ✓ | ⏱: 1.48s 
[2025-10-12 13:45:02.613] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_evals/otel/                                                     | ✓ | ⏱: 0.41s 
[2025-10-12 13:45:02.613] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_evals/otel/                                                     | ✓ | ⏱: 1.91s 
[2025-10-12 13:45:02.817] [FETCH]... ↓ https://ai.pydantic.dev/api/models/mcp-sampling/                                                     | ✓ | ⏱: 2.13s 
[2025-10-12 13:45:02.985] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/mcp-sampling/                                                     | ✓ | ⏱: 0.16s 
[2025-10-12 13:45:02.998] [COMPLETE] ● https://ai.pydantic.dev/api/models/mcp-sampling/                                                     | ✓ | ⏱: 2.31s 
[2025-10-12 13:45:03.044] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_evals/generation/                                               | ✓ | ⏱: 2.33s 
[2025-10-12 13:45:03.164] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_evals/generation/                                               | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:03.173] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_evals/generation/                                               | ✓ | ⏱: 2.46s 
[2025-10-12 13:45:03.222] [FETCH]... ↓ https://ai.pydantic.dev/api/models/instrumented/                                                     | ✓ | ⏱: 2.54s 
[2025-10-12 13:45:03.672] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/instrumented/                                                     | ✓ | ⏱: 0.43s 
[2025-10-12 13:45:03.681] [COMPLETE] ● https://ai.pydantic.dev/api/models/instrumented/                                                     | ✓ | ⏱: 3.00s 
[2025-10-12 13:45:03.874] [FETCH]... ↓ https://ai.pydantic.dev/api/models/test/                                                             | ✓ | ⏱: 3.19s 
[2025-10-12 13:45:03.996] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/test/                                                             | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:04.007] [COMPLETE] ● https://ai.pydantic.dev/api/models/test/                                                             | ✓ | ⏱: 3.32s 
[2025-10-12 13:45:04.032] [FETCH]... ↓ https://ai.pydantic.dev/api/models/mistral/                                                          | ✓ | ⏱: 3.34s 
[2025-10-12 13:45:04.257] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/mistral/                                                          | ✓ | ⏱: 0.22s 
[2025-10-12 13:45:04.265] [COMPLETE] ● https://ai.pydantic.dev/api/models/mistral/                                                          | ✓ | ⏱: 3.58s 
[2025-10-12 13:45:04.314] [FETCH]... ↓ https://ai.pydantic.dev/api/models/wrapper/                                                          | ✓ | ⏱: 3.61s 
[2025-10-12 13:45:04.392] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/wrapper/                                                          | ✓ | ⏱: 0.08s 
[2025-10-12 13:45:04.400] [COMPLETE] ● https://ai.pydantic.dev/api/models/wrapper/                                                          | ✓ | ⏱: 3.70s 
[2025-10-12 13:45:04.408] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_evals/evaluators/                                               | ✓ | ⏱: 3.70s 
[2025-10-12 13:45:04.679] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_evals/evaluators/                                               | ✓ | ⏱: 0.27s 
[2025-10-12 13:45:04.679] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_evals/evaluators/                                               | ✓ | ⏱: 3.98s 
[2025-10-12 13:45:04.699] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_evals/dataset/                                                  | ✓ | ⏱: 3.99s 
[2025-10-12 13:45:05.073] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_evals/dataset/                                                  | ✓ | ⏱: 0.37s 
[2025-10-12 13:45:05.073] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_evals/dataset/                                                  | ✓ | ⏱: 4.38s 
[2025-10-12 13:45:05.073] [FETCH]... ↓ https://ai.pydantic.dev/api/models/openai/                                                           | ✓ | ⏱: 4.40s 
[2025-10-12 13:45:05.479] [SCRAPE].. ◆ https://ai.pydantic.dev/api/models/openai/                                                           | ✓ | ⏱: 0.40s 
[2025-10-12 13:45:05.488] [COMPLETE] ● https://ai.pydantic.dev/api/models/openai/                                                           | ✓ | ⏱: 4.80s 
[2025-10-12 13:45:07.144] [FETCH]... ↓ https://ai.pydantic.dev/examples/ag-ui/                                                              | ✓ | ⏱: 1.61s 
[2025-10-12 13:45:07.280] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/ag-ui/                                                              | ✓ | ⏱: 0.13s 
[2025-10-12 13:45:07.280] [COMPLETE] ● https://ai.pydantic.dev/examples/ag-ui/                                                              | ✓ | ⏱: 1.75s 
[2025-10-12 13:45:07.297] [FETCH]... ↓ https://ai.pydantic.dev/durable_execution/overview/                                                  | ✓ | ⏱: 1.77s 
[2025-10-12 13:45:07.346] [SCRAPE].. ◆ https://ai.pydantic.dev/durable_execution/overview/                                                  | ✓ | ⏱: 0.04s 
[2025-10-12 13:45:07.346] [COMPLETE] ● https://ai.pydantic.dev/durable_execution/overview/                                                  | ✓ | ⏱: 1.82s 
[2025-10-12 13:45:07.505] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_graph/exceptions/                                               | ✓ | ⏱: 2.01s 
[2025-10-12 13:45:07.574] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_graph/exceptions/                                               | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:07.582] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_graph/exceptions/                                               | ✓ | ⏱: 2.09s 
[2025-10-12 13:45:07.771] [FETCH]... ↓ https://ai.pydantic.dev/durable_execution/temporal/                                                  | ✓ | ⏱: 2.24s 
[2025-10-12 13:45:07.938] [SCRAPE].. ◆ https://ai.pydantic.dev/durable_execution/temporal/                                                  | ✓ | ⏱: 0.16s 
[2025-10-12 13:45:07.946] [COMPLETE] ● https://ai.pydantic.dev/durable_execution/temporal/                                                  | ✓ | ⏱: 2.42s 
[2025-10-12 13:45:07.946] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_evals/reporting/                                                | ✓ | ⏱: 2.46s 
[2025-10-12 13:45:08.496] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_evals/reporting/                                                | ✓ | ⏱: 0.54s 
[2025-10-12 13:45:08.517] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_evals/reporting/                                                | ✓ | ⏱: 3.01s 
[2025-10-12 13:45:08.806] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_graph/nodes/                                                    | ✓ | ⏱: 3.29s 
[2025-10-12 13:45:09.020] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_graph/nodes/                                                    | ✓ | ⏱: 0.21s 
[2025-10-12 13:45:09.020] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_graph/nodes/                                                    | ✓ | ⏱: 3.51s 
[2025-10-12 13:45:09.083] [FETCH]... ↓ https://ai.pydantic.dev/durable_execution/dbos/                                                      | ✓ | ⏱: 3.56s 
[2025-10-12 13:45:09.183] [SCRAPE].. ◆ https://ai.pydantic.dev/durable_execution/dbos/                                                      | ✓ | ⏱: 0.10s 
[2025-10-12 13:45:09.191] [COMPLETE] ● https://ai.pydantic.dev/durable_execution/dbos/                                                      | ✓ | ⏱: 3.67s 
[2025-10-12 13:45:09.218] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_graph/mermaid/                                                  | ✓ | ⏱: 3.71s 
[2025-10-12 13:45:09.367] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_graph/mermaid/                                                  | ✓ | ⏱: 0.14s 
[2025-10-12 13:45:09.367] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_graph/mermaid/                                                  | ✓ | ⏱: 3.87s 
[2025-10-12 13:45:09.379] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_graph/persistence/                                              | ✓ | ⏱: 3.86s 
[2025-10-12 13:45:09.605] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_graph/persistence/                                              | ✓ | ⏱: 0.22s 
[2025-10-12 13:45:09.608] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_graph/persistence/                                              | ✓ | ⏱: 4.09s 
[2025-10-12 13:45:09.643] [FETCH]... ↓ https://ai.pydantic.dev/api/pydantic_graph/graph/                                                    | ✓ | ⏱: 4.15s 
[2025-10-12 13:45:10.026] [SCRAPE].. ◆ https://ai.pydantic.dev/api/pydantic_graph/graph/                                                    | ✓ | ⏱: 0.38s 
[2025-10-12 13:45:10.026] [COMPLETE] ● https://ai.pydantic.dev/api/pydantic_graph/graph/                                                    | ✓ | ⏱: 4.54s 
[2025-10-12 13:45:11.212] [FETCH]... ↓ https://ai.pydantic.dev/examples/sql-gen/                                                            | ✓ | ⏱: 1.13s 
[2025-10-12 13:45:11.269] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/sql-gen/                                                            | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:11.277] [COMPLETE] ● https://ai.pydantic.dev/examples/sql-gen/                                                            | ✓ | ⏱: 1.20s 
[2025-10-12 13:45:11.714] [FETCH]... ↓ https://ai.pydantic.dev/examples/bank-support/                                                       | ✓ | ⏱: 1.67s 
[2025-10-12 13:45:11.810] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/bank-support/                                                       | ✓ | ⏱: 0.09s 
[2025-10-12 13:45:11.813] [COMPLETE] ● https://ai.pydantic.dev/examples/bank-support/                                                       | ✓ | ⏱: 1.77s 
[2025-10-12 13:45:12.046] [FETCH]... ↓ https://ai.pydantic.dev/examples/setup/                                                              | ✓ | ⏱: 1.97s 
[2025-10-12 13:45:12.179] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/setup/                                                              | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:12.188] [COMPLETE] ● https://ai.pydantic.dev/examples/setup/                                                              | ✓ | ⏱: 2.11s 
[2025-10-12 13:45:12.279] [FETCH]... ↓ https://ai.pydantic.dev/examples/slack-lead-qualifier/                                               | ✓ | ⏱: 2.20s 
[2025-10-12 13:45:12.474] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/slack-lead-qualifier/                                               | ✓ | ⏱: 0.19s 
[2025-10-12 13:45:12.491] [COMPLETE] ● https://ai.pydantic.dev/examples/slack-lead-qualifier/                                               | ✓ | ⏱: 2.41s 
[2025-10-12 13:45:12.562] [FETCH]... ↓ https://ai.pydantic.dev/examples/rag/                                                                | ✓ | ⏱: 2.48s 
[2025-10-12 13:45:12.674] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/rag/                                                                | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:12.682] [COMPLETE] ● https://ai.pydantic.dev/examples/rag/                                                                | ✓ | ⏱: 2.61s 
[2025-10-12 13:45:12.733] [FETCH]... ↓ https://ai.pydantic.dev/examples/flight-booking/                                                     | ✓ | ⏱: 2.68s 
[2025-10-12 13:45:12.810] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/flight-booking/                                                     | ✓ | ⏱: 0.07s 
[2025-10-12 13:45:12.811] [COMPLETE] ● https://ai.pydantic.dev/examples/flight-booking/                                                     | ✓ | ⏱: 2.75s 
[2025-10-12 13:45:12.848] [FETCH]... ↓ https://ai.pydantic.dev/examples/chat-app/                                                           | ✓ | ⏱: 2.80s 
[2025-10-12 13:45:12.974] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/chat-app/                                                           | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:12.979] [COMPLETE] ● https://ai.pydantic.dev/examples/chat-app/                                                           | ✓ | ⏱: 2.93s 
[2025-10-12 13:45:12.993] [FETCH]... ↓ https://ai.pydantic.dev/examples/pydantic-model/                                                     | ✓ | ⏱: 2.92s 
[2025-10-12 13:45:13.043] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/pydantic-model/                                                     | ✓ | ⏱: 0.04s 
[2025-10-12 13:45:13.056] [COMPLETE] ● https://ai.pydantic.dev/examples/pydantic-model/                                                     | ✓ | ⏱: 2.98s 
[2025-10-12 13:45:13.072] [FETCH]... ↓ https://ai.pydantic.dev/examples/data-analyst/                                                       | ✓ | ⏱: 3.02s 
[2025-10-12 13:45:13.129] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/data-analyst/                                                       | ✓ | ⏱: 0.05s 
[2025-10-12 13:45:13.138] [COMPLETE] ● https://ai.pydantic.dev/examples/data-analyst/                                                       | ✓ | ⏱: 3.09s 
[2025-10-12 13:45:13.353] [FETCH]... ↓ https://ai.pydantic.dev/examples/question-graph/                                                     | ✓ | ⏱: 3.27s 
[2025-10-12 13:45:13.416] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/question-graph/                                                     | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:13.416] [COMPLETE] ● https://ai.pydantic.dev/examples/question-graph/                                                     | ✓ | ⏱: 3.35s 
[2025-10-12 13:45:15.035] [FETCH]... ↓ https://ai.pydantic.dev/examples/stream-markdown/                                                    | ✓ | ⏱: 1.61s 
[2025-10-12 13:45:15.093] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/stream-markdown/                                                    | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:15.101] [COMPLETE] ● https://ai.pydantic.dev/examples/stream-markdown/                                                    | ✓ | ⏱: 1.68s 
[2025-10-12 13:45:15.109] [FETCH]... ↓ https://ai.pydantic.dev/examples/stream-whales/                                                      | ✓ | ⏱: 1.68s 
[2025-10-12 13:45:15.173] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/stream-whales/                                                      | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:15.173] [COMPLETE] ● https://ai.pydantic.dev/examples/stream-whales/                                                      | ✓ | ⏱: 1.75s 
[2025-10-12 13:45:15.529] [FETCH]... ↓ https://ai.pydantic.dev/examples/weather-agent/                                                      | ✓ | ⏱: 2.09s 
[2025-10-12 13:45:15.713] [SCRAPE].. ◆ https://ai.pydantic.dev/examples/weather-agent/                                                      | ✓ | ⏱: 0.18s 
[2025-10-12 13:45:15.722] [COMPLETE] ● https://ai.pydantic.dev/examples/weather-agent/                                                      | ✓ | ⏱: 2.30s 
[2025-10-12 13:45:15.750] [FETCH]... ↓ https://ai.pydantic.dev/mcp/overview/                                                                | ✓ | ⏱: 2.32s 
[2025-10-12 13:45:15.862] [SCRAPE].. ◆ https://ai.pydantic.dev/mcp/overview/                                                                | ✓ | ⏱: 0.10s 
[2025-10-12 13:45:15.871] [COMPLETE] ● https://ai.pydantic.dev/mcp/overview/                                                                | ✓ | ⏱: 2.43s 
[2025-10-12 13:45:15.937] [FETCH]... ↓ https://ai.pydantic.dev/models/anthropic/                                                            | ✓ | ⏱: 2.50s 
[2025-10-12 13:45:16.066] [SCRAPE].. ◆ https://ai.pydantic.dev/models/anthropic/                                                            | ✓ | ⏱: 0.12s 
[2025-10-12 13:45:16.082] [COMPLETE] ● https://ai.pydantic.dev/models/anthropic/                                                            | ✓ | ⏱: 2.64s 
[2025-10-12 13:45:16.212] [FETCH]... ↓ https://ai.pydantic.dev/models/bedrock/                                                              | ✓ | ⏱: 2.76s 
[2025-10-12 13:45:16.294] [SCRAPE].. ◆ https://ai.pydantic.dev/models/bedrock/                                                              | ✓ | ⏱: 0.07s 
[2025-10-12 13:45:16.302] [COMPLETE] ● https://ai.pydantic.dev/models/bedrock/                                                              | ✓ | ⏱: 2.86s 
[2025-10-12 13:45:16.336] [FETCH]... ↓ https://ai.pydantic.dev/models/google/                                                               | ✓ | ⏱: 2.89s 
[2025-10-12 13:45:16.460] [SCRAPE].. ◆ https://ai.pydantic.dev/models/google/                                                               | ✓ | ⏱: 0.11s 
[2025-10-12 13:45:16.469] [COMPLETE] ● https://ai.pydantic.dev/models/google/                                                               | ✓ | ⏱: 3.02s 
